EXTERNAL/TSAI:  VERSION OF 8/8/96

Marathon                                                                
Carbon kin1                                                             
                                                                        
Hall A 2018: carbon target                                              
Nominal values - not exact                                              

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  6, 12);   avgA =  12.000; amuM= 12.002; avgM= 11.180
 targ=ordinar; ttarg(rl)=0.00207; twall=0.00001; tbeam=0.00057; tspec=0.00832
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1
 DIS MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

   2.986  0.191 12.43    3.94   14.30    2.57    0.09   16.96 8.561E+01

  10.590 16.972  2.75    3.67   14.33    2.42    0.08   16.84  0.779
   2.986  0.193 12.40    3.88   14.12    2.52    0.08   16.73 8.339E+01

  10.590 17.072  2.79    3.62   14.17    2.38    0.08   16.63  0.780
   2.986  0.195 12.36    3.82   13.94    2.48    0.08   16.50 8.123E+01

  10.590 17.172  2.82    3.57   14.02    2.34    0.07   16.43  0.781
   2.986  0.198 12.33    3.76   13.76    2.44    0.07   16.27 7.913E+01

  10.590 17.272  2.85    3.51   13.86    2.30    0.07   16.23  0.783
   2.986  0.200 12.30    3.71   13.58    2.39    0.07   16.04 7.709E+01

  10.590 17.372  2.88    3.46   13.73    2.26    0.06   16.06  0.784
   2.986  0.202 12.27    3.65   13.43    2.35    0.06   15.85 7.510E+01

  10.590 17.472  2.92    3.41   13.58    2.22    0.06   15.86  0.785
   2.986  0.204 12.23    3.60   13.25    2.31    0.06   15.63 7.317E+01

  10.590 17.572  2.95    3.36   13.40    2.19    0.05   15.64  0.786
   2.986  0.207 12.20    3.55   13.06    2.27    0.05   15.38 7.129E+01

  10.590 17.672  2.98    3.31   13.24    2.15    0.05   15.44  0.788
   2.986  0.209 12.17    3.49   12.87    2.23    0.05   15.16 6.946E+01

  10.590 17.772  3.02    3.27   13.09    2.11    0.05   15.25  0.789
   2.986  0.211 12.13    3.44   12.70    2.19    0.05   14.94 6.768E+01

  10.590 17.872  3.05    3.22   12.92    2.08    0.04   15.04  0.790
   2.986  0.214 12.10    3.39   12.51    2.16    0.04   14.71 6.595E+01

  10.590 17.972  3.09    3.17   12.82    2.04    0.04   14.90  0.791
   2.986  0.216 12.06    3.34   12.39    2.12    0.04   14.55 6.427E+01

  10.590 18.072  3.12    3.13   12.62    2.00    0.04   14.66  0.792
   2.986  0.219 12.03    3.29   12.17    2.08    0.04   14.29 6.262E+01

  10.590 18.172  3.15    3.08   12.46    1.97    0.03   14.47  0.793
   2.986  0.221 12.00    3.25   11.99    2.04    0.03   14.07 6.103E+01

  10.590 18.272  3.19    3.04   12.30    1.94    0.03   14.27  0.794
   2.986  0.223 11.96    3.20   11.81    2.01    0.03   13.85 5.947E+01

  10.590 18.372  3.22    3.00   12.16    1.90    0.03   14.09  0.795
   2.986  0.226 11.93    3.14   11.64    1.97    0.03   13.64 5.795E+01

  10.590 18.472  3.26    2.96   12.00    1.87    0.03   13.90  0.796
   2.986  0.228 11.89    3.11   11.46    1.94    0.03   13.43 5.648E+01

  10.590 18.572  3.29    2.91   11.84    1.84    0.02   13.70  0.797
   2.986  0.231 11.86    3.06   11.29    1.91    0.02   13.22 5.504E+01

  10.590 18.672  3.33    2.87   11.70    1.80    0.02   13.53  0.798
   2.986  0.233 11.82    3.02   11.12    1.87    0.02   13.02 5.364E+01

  10.590 18.772  3.36    2.83   11.54    1.77    0.02   13.33  0.799
   2.986  0.236 11.79    2.98   10.94    1.84    0.02   12.80 5.228E+01

  10.590 18.872  3.40    2.79   11.39    1.74    0.02   13.15  0.800
   2.986  0.238 11.75    2.93   10.77    1.81    0.02   12.61 5.095E+01

  10.590 18.972  3.44    2.75   11.24    1.71    0.02   12.97  0.800
   2.986  0.241 11.71    2.89   10.60    1.77    0.02   12.39 4.965E+01

  10.590 19.072  3.47    2.72   11.08    1.68    0.02   12.78  0.801
   2.986  0.243 11.68    2.85   10.42    1.74    0.02   12.18 4.839E+01

  10.590 19.172  3.51    2.68   10.93    1.65    0.01   12.60  0.801
   2.986  0.246 11.64    2.81   10.25    1.71    0.01   11.98 4.716E+01

  10.590 19.272  3.54    2.64   10.79    1.62    0.01   12.42  0.801
   2.986  0.248 11.61    2.77   10.09    1.68    0.01   11.78 4.596E+01

  10.590 19.372  3.58    2.61   10.63    1.59    0.01   12.24  0.802
   2.986  0.251 11.57    2.73    9.91    1.65    0.01   11.57 4.479E+01

  10.590 19.472  3.62    2.57   10.48    1.56    0.01   12.06  0.802
   2.986  0.253 11.53    2.70    9.74    1.62    0.01   11.37 4.365E+01

  10.590 19.572  3.65    2.54   10.33    1.54    0.01   11.88  0.802
   2.986  0.256 11.50    2.66    9.57    1.59    0.01   11.17 4.254E+01

  10.590 19.672  3.69    2.50   10.17    1.51    0.01   11.69  0.802
   2.986  0.259 11.46    2.62    9.38    1.56    0.01   10.96 4.146E+01

