!iexp    x       qsq      rat     drat(frac)  norm(frac)
  5.  0.5910   10.414    0.7132    0.0476    0.0060
  5.  0.5450    9.677    0.7385    0.0575    0.0060
  5.  0.5070    9.072    0.8685    0.1260    0.0060
  5.  0.7610    7.612    0.7023    0.0258    0.0060
  5.  0.7040    7.132    0.6924    0.0238    0.0060
  5.  0.6550    6.714    0.6924    0.0208    0.0060
  5.  0.6110    6.333    0.7326    0.0248    0.0060
  5.  0.5660    5.935    0.7128    0.0397    0.0060
  5.  0.5350    5.652    0.9032    0.1151    0.0060
  5.  0.7110   23.730    0.6413    0.0942    0.0060
  5.  0.6570   22.087    0.6875    0.0436    0.0060
  5.  0.6090   20.590    0.8144    0.0456    0.0060
  5.  0.5680   19.317    0.7852    0.0436    0.0060
  5.  0.5220   17.846    0.8348    0.0496    0.0060
  5.  0.4760   16.370    0.8139    0.0595    0.0060
  5.  0.4340   14.994    0.8427    0.0942    0.0060
