 exp   x    Q2    WSQ   F2Dp_data   F2Dp_err  F2Dp_norm  F2Dp_f1f217   F2Dp_ineft   F2d_f1f217   F2p_f1f217      F2d_ineft   F2p_ineft
2.0   0.33800   1.17300   3.17777      0.85760      0.00790      0.00000          1.70769          0.90660          0.47372          0.27740          0.24084          0.26565
2.0   0.29200   1.10200   3.55233      0.85410      0.00790      0.00000          1.68028          0.88394          0.51630          0.30727          0.26017          0.29433
2.0   0.26000   1.04300   3.84889      0.85760      0.00890      0.00000          1.70370          0.87870          0.54593          0.32044          0.27110          0.30852
2.0   0.23500   0.99400   4.11614      0.88440      0.01590      0.00000          1.72503          0.88641          0.55559          0.32207          0.27792          0.31354
2.0   0.18800   0.88400   4.69848      0.88190      0.01690      0.00000          1.73017          0.89795          0.56041          0.32390          0.28552          0.31796
2.0   0.15000   0.77300   5.26069      0.91160      0.01690      0.00000          1.73868          0.91196          0.55995          0.32205          0.28457          0.31204
2.0   0.11800   0.66300   5.83600      0.89880      0.01790      0.00000          1.77142          0.92679          0.55004          0.31051          0.27658          0.29843
2.0   0.52300   2.51700   3.17597      0.79760      0.01390      0.00000          1.60723          0.81912          0.26251          0.16333          0.13251          0.16177
2.0   0.48600   2.44400   3.46516      0.77820      0.01980      0.00000          1.60511          0.81858          0.30241          0.18841          0.15179          0.18543
2.0   0.41000   2.26900   4.14550      0.79960      0.01590      0.00000          1.64190          0.81225          0.38465          0.23427          0.19332          0.23801
2.0   0.35500   2.12100   4.73400      0.81390      0.01590      0.00000          1.63178          0.82250          0.43379          0.26584          0.22366          0.27193
2.0   0.29900   1.94500   5.44037      0.84420      0.01590      0.00000          1.62138          0.83881          0.48972          0.30204          0.25282          0.30141
2.0   0.24600   1.74400   6.22579      0.86350      0.01790      0.00000          1.63842          0.85885          0.54256          0.33115          0.27658          0.32203
2.0   0.20300   1.55000   6.96582      0.88290      0.01590      0.00000          1.67294          0.87809          0.57663          0.34468          0.29104          0.33144
2.0   0.17900   1.43300   7.45294      0.91160      0.01690      0.00000          1.70106          0.88995          0.58865          0.34605          0.29641          0.33307
2.0   0.15700   1.30900   7.90893      0.87840      0.01690      0.00000          1.73727          0.90156          0.59456          0.34224          0.29898          0.33163
2.0   0.10200   0.95800   9.31451      0.94490      0.02480      0.00000          1.82663          0.93344          0.57870          0.31681          0.29135          0.31212
2.0   0.74200   6.11500   3.00659      0.79060      0.04860      0.00000          1.35537          0.60248          0.05276          0.03892          0.02745          0.04557
2.0   0.67300   5.86200   3.72861      0.75790      0.04860      0.00000          1.41419          0.72761          0.08743          0.06182          0.04537          0.06235
2.0   0.61000   5.60500   4.46388      0.73850      0.04360      0.00000          1.45127          0.73633          0.13021          0.08972          0.06766          0.09189
2.0   0.55500   5.35200   5.17160      0.73310      0.03670      0.00000          1.47760          0.74510          0.17878          0.12099          0.09199          0.12346
2.0   0.47100   4.91900   6.40509      0.75790      0.01690      0.00000          1.53324          0.76651          0.27299          0.17805          0.13709          0.17885
2.0   0.40300   4.50700   7.55698      0.78420      0.01490      0.00000          1.57666          0.78839          0.35819          0.22718          0.17891          0.22693
2.0   0.34400   4.10200   8.70277      0.79310      0.01690      0.00000          1.60840          0.81042          0.42750          0.26579          0.21677          0.26748
2.0   0.30000   3.77100   9.67935      0.83130      0.01490      0.00000          1.64767          0.82882          0.48144          0.29220          0.24435          0.29481
2.0   0.26700   3.48600  10.45053      0.84270      0.01790      0.00000          1.67618          0.84382          0.52165          0.31121          0.26379          0.31261
2.0   0.24100   3.25400  11.12843      0.81640      0.02580      0.00000          1.68297          0.85638          0.54472          0.32367          0.27782          0.32441
2.0   0.21100   2.96100  11.95253      0.84960      0.01690      0.00000          1.69837          0.87173          0.57007          0.33566          0.29206          0.33503
2.0   0.19000   2.74000  12.56141      0.87400      0.02280      0.00000          1.72543          0.88301          0.59062          0.34230          0.30041          0.34021
2.0   0.17200   2.54600  13.13668      0.88490      0.02780      0.00000          1.75499          0.89303          0.60842          0.34668          0.30627          0.34296
2.0   0.15600   2.36200  13.65938      0.87790      0.02380      0.00000          1.76195          0.90217          0.61566          0.34942          0.31026          0.34390
2.0   0.14100   2.17800  14.14916      0.86110      0.04560      0.00000          1.76688          0.91094          0.61990          0.35084          0.31274          0.34331
2.0   0.12900   2.03600  14.62730      0.89430      0.03870      0.00000          1.76744          0.91809          0.62066          0.35116          0.31382          0.34182
2.0   0.11300   1.82700  15.22150      0.89080      0.03670      0.00000          1.76396          0.92776          0.61745          0.35003          0.31351          0.33792
2.0   0.09100   1.52600  16.12359      0.92060      0.04660      0.00000          1.75181          0.94131          0.60424          0.34492          0.30915          0.32843
2.0   0.58600   7.26300   6.01155      0.72560      0.02880      0.00000          1.42916          0.73263          0.13563          0.09490          0.07103          0.09695
2.0   0.42800   6.07500   8.99928      0.79960      0.03080      0.00000          1.55573          0.77791          0.31180          0.20042          0.15753          0.20250
2.0   0.32100   5.06100  11.58571      0.80050      0.03370      0.00000          1.61737          0.81917          0.44312          0.27398          0.22838          0.27879
2.0   0.23600   4.07000  14.05612      0.82780      0.02780      0.00000          1.66143          0.85891          0.53630          0.32279          0.28023          0.32626
2.0   0.20100   3.61500  15.25043      0.86200      0.03170      0.00000          1.69678          0.87730          0.57346          0.33797          0.29743          0.33903
2.0   0.17900   3.30200  16.02528      0.86450      0.03170      0.00000          1.73681          0.88945          0.60022          0.34559          0.30626          0.34432
2.0   0.15700   2.98200  16.89199      0.85810      0.03570      0.00000          1.77340          0.90203          0.62321          0.35142          0.31315          0.34717
2.0   0.14300   2.76200  17.43304      0.87890      0.03670      0.00000          1.78595          0.91022          0.63225          0.35401          0.31629          0.34749
2.0   0.13000   2.54200  17.89220      0.90370      0.04270      0.00000          1.78631          0.91794          0.63491          0.35543          0.31812          0.34656
2.0   0.11600   2.31600  18.52987      0.91020      0.04460      0.00000          1.76510          0.92636          0.62823          0.35592          0.31892          0.34428
2.0   0.10600   2.14400  18.96277      0.89680      0.05360      0.00000          1.75915          0.93242          0.62509          0.35534          0.31849          0.34157
2.0   0.09600   1.97100  19.44060      0.87790      0.05650      0.00000          1.74866          0.93851          0.61889          0.35392          0.31714          0.33792
2.0   0.07900   1.66000  20.23301      0.86800      0.05060      0.00000          1.71936          0.94893          0.59971          0.34880          0.31198          0.32877
2.0   0.77100   9.14700   3.59717      0.75690      0.07840      0.00000          1.40082          0.73063          0.03113          0.02223          0.01641          0.02246
2.0   0.66400   8.49400   5.17852      0.66320      0.04760      0.00000          1.40865          0.71978          0.07602          0.05396          0.04059          0.05639
2.0   0.54300   7.62300   7.29603      0.78020      0.02380      0.00000          1.45843          0.74215          0.17036          0.11681          0.08922          0.12022
2.0   0.47200   7.02600   8.73995      0.77720      0.01880      0.00000          1.52201          0.76297          0.25170          0.16537          0.12845          0.16836
2.0   0.40400   6.39000  10.30719      0.78720      0.01980      0.00000          1.58829          0.78620          0.33983          0.21396          0.17166          0.21834
2.0   0.33700   5.67700  12.04905      0.78070      0.01590      0.00000          1.60422          0.81233          0.41909          0.26124          0.21680          0.26689
2.0   0.29000   5.11800  13.41063      0.81000      0.01590      0.00000          1.64017          0.83285          0.47835          0.29165          0.24783          0.29757
2.0   0.25700   4.69300  14.44806      0.85960      0.02280      0.00000          1.64569          0.84847          0.51145          0.31078          0.26821          0.31611
2.0   0.23300   4.37000  15.26572      0.81200      0.02780      0.00000          1.65089          0.86049          0.53364          0.32324          0.28182          0.32751
2.0   0.20200   3.91600  16.35049      0.84170      0.02180      0.00000          1.68530          0.87685          0.56833          0.33723          0.29732          0.33908
2.0   0.17500   3.50000  17.38035      0.89330      0.02580      0.00000          1.73629          0.89183          0.60255          0.34704          0.30833          0.34572
2.0   0.16100   3.26700  17.90528      0.94390      0.04270      0.00000          1.76139          0.89984          0.61838          0.35108          0.31287          0.34770
2.0   0.14600   3.02100  18.55114      0.92160      0.04270      0.00000          1.77905          0.90859          0.63070          0.35451          0.31675          0.34861
2.0   0.12100   2.57900  19.61540      0.89230      0.03080      0.00000          1.77769          0.92347          0.63571          0.35760          0.32028          0.34682
2.0   0.10800   2.33400  20.15747      0.90120      0.05950      0.00000          1.76080          0.93131          0.62954          0.35753          0.32030          0.34393
2.0   0.09800   2.14100  20.58629      0.88390      0.04460      0.00000          1.75113          0.93737          0.62425          0.35649          0.31928          0.34061
2.0   0.08800   1.96000  21.19308      1.07980      0.09030      0.00000          1.73530          0.94346          0.61552          0.35471          0.31740          0.33642
2.0   0.78900  13.36300   4.45398      0.73660      0.02880      0.00000          1.63732          0.74904          0.02213          0.01352          0.01081          0.01444
2.0   0.70100  12.52800   6.22397      0.72170      0.02680      0.00000          1.56758          0.71841          0.04866          0.03104          0.02600          0.03619
2.0   0.62100  11.69300   8.01666      0.73160      0.02880      0.00000          1.57991          0.72404          0.08997          0.05695          0.04961          0.06853
